id,cases
1,	27
2,	27
3,	27
4,	44
5,	44
6,	59
7,	59
8,	59
9,	59
10,	59
11,	59
12,	59
13,	59
14,	60
15,	60
16,	61
17,	61
18,	66
19,	83
20,	219
21,	239
22,	392
23,	534
24,	631
25,	897
26,	1350
27,	2023
28,	2820
29,	4587
30,	6067
31,	7823
32,	9824
33,	11946
34,	14554
35,	17372
36,	20615
37,	24523
38,	28274
39,	31492
40,	34934
41,	37552
42,	40544
43,	43106
44,	45178
45,	60329
46,	64544
47,	67104
48,	69266
49,	71333
50,	73328
51,	75192
52,	75724
53,	76720
54,	77805
55,	78814
56,	79337
57,	80130
58,	80997
59,	82111
60,	83377
61,	85236
62,	87080
63,	89149
64,	91006
65,	93318
66,	95672
67,	98730
68,	102850
69,	106827
70,	111004
71,	115820
72,	120927
73,	128825
74,	138276
75,	148680
76,	160845
77,	173300
78,	187501
79,	204507
80,	224721
81,	255815
82,	287724
83,	321930
84,	356216
85,	400702
86,	443088
87,	496838
88,	557854
89,	622948
90,	685762
91,	743125
92,	807613
93,	882287
94,	959760
95,	1037217
96,	1119047
97,	1204290
98,	1270566
99,	1343554
100,	1420821
101,	1505741
102,	1593005
103,	1682517
104,	1757831
105,	1826359
106,	1891079
107,	1967575
108,	2045923
109,	2129864
110,	2211643
111,	2291206
112,	2361768
113,	2435503
114,	2522168
115,	2588512
116,	2666997
117,	2739789
118,	2839571
119,	2921248
120,	2987068
121,	3059322
122,	3138124
123,	3223457
124,	3312124
125,	3392752
126,	3469917
127,	3546453
128,	3625136
129,	3712693
130,	3805117
131,	3894328
132,	3983171
133,	4057865
134,	4127599
135,	4213812
136,	4300069
137,	4396612
138,	4493831
139,	4586766
140,	4666269
141,	4752636
142,	4848180
143,	4951507
144,	5059287
145,	5165087
146,	5265114
147,	5358269
148,	5447112
149,	5540893
150,	5643712
151,	5762218
152,	5884287
153,	6012225
154,	6118941
155,	6219235
156,	6331622
157,	6457134
158,	6584058
159,	6717248
160,	6843245
161,	6958074
162,	7063695
163,	7188932
164,	7323786
165,	7459941
166,	7604567
167,	7737979
168,	7859175
169,	7977670
170,	8119146
171,	8296010
172,	8434460
173,	8614771
174,	8775088
175,	8904286
176,	9038525
177,	9202416
178,	9377410
179,	9556151
180,	9744823
181,	9926851
182,	10087054
183,	10245212
184,	10437297
185,	10637673
186,	10846298
187,	11051822
188,	11242886
189,	11421165
190,	11595443
191,	11802385
192,	12017891
193,	12243038
194,	12474499
195,	12692493
196,	12887992
197,	13076438
198,	13300131
199,	13531830
200,	13786208
201,	14034401
202,	14264692
203,	14480242
204,	14681006
205,	14920791
206,	15202424
207,	15478715
208,	15762626
209,	16022254
210,	16254112
211,	16466019
212,	16709821
213,	17007932
214,	17298363
215,	17577425
216,	17845282
217,	18068574
218,	18273231
219,	18528903
220,	18806507
221,	19092432
222,	19368335
223,	19637053
224,	19866467
225,	20086233
226,	20347700
227,	20637047
228,	20923717
229,	21212635
230,	21472268
231,	21704629
232,	21901175
233,	22156199
234,	22437717
235,	22714035
236,	22967266
237,	23233996
238,	23458344
239,	23669801
240,	23924873
241,	24201548
242,	24484958
243,	24761557
244,	25030568
245,	25275792
246,	25518298
247,	25786843
248,	26069982
249,	26348836
250,	26642296
251,	26922021
252,	27170654
253,	27377035
254,	27621679
255,	27909628
256,	28214696
257,	28520020
258,	28807116
259,	29079709
260,	29322579
261,	29626775
262,	29918853
263,	30234221
264,	30545479
265,	30841493
266,	31127663
267,	31393489
268,	31674943
269,	31985715
270,	32306855
271,	32618779
272,	32921082
273,	33203123
274,	33439079
275,	33731718
276,	34047566
277,	34370881
278,	34689747
279,	34994255
280,	35277403
281,	35545985
282,	35871733
283,	36224582
284,	36612982
285,	36960294
286,	37302354
287,	37610019
288,	37892100
289,	38466568

